Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-10-05,139.490005,142.240005,139.360001,141.110001,140.904358,80861100,0.011613706659484418
2021-10-06,139.470001,142.149994,138.369995,142.000000,141.793060,83221100,0.018140094513945
2021-10-07,143.059998,144.220001,142.720001,143.289993,143.081177,61732700,0.00160768211390582
2021-10-08,144.029999,144.179993,142.559998,142.899994,142.691742,58718700,-0.007845622494241712
2021-10-11,142.270004,144.809998,141.809998,142.809998,142.601883,64452200,0.0037955576356067805
2021-10-12,143.229996,143.250000,141.039993,141.509995,141.303772,73035900,-0.012008664721319942
2021-10-13,141.240005,141.399994,139.199997,140.910004,140.704651,78762700,-0.00233645559556593
2021-10-14,142.110001,143.880005,141.509995,143.759995,143.550491,69907100,0.011610681784457889
2021-10-15,143.770004,144.899994,143.509995,144.839996,144.628922,67885200,0.007442386939072586
2021-10-18,143.449997,146.839996,143.160004,146.550003,146.336426,85589200,0.021610359462050095
2021-10-19,147.009995,149.169998,146.550003,148.759995,148.543198,76378900,0.01190395251697002
2021-10-20,148.699997,149.750000,148.119995,149.259995,149.042480,58418800,0.0037659583812904
2021-10-21,148.809998,149.639999,147.869995,149.479996,149.262146,61421000,0.004502372212920751
2021-10-22,149.690002,150.179993,148.639999,148.690002,148.473312,58883400,-0.006680472888229369
2021-10-25,148.679993,149.369995,147.619995,148.639999,148.423386,50720600,-0.00026899382487869224
2021-10-26,149.330002,150.839996,149.009995,149.320007,149.102402,60893400,-6.693229669951741e-05
2021-10-27,149.360001,149.729996,148.490005,148.850006,148.633087,56094900,-0.0034145353279691226
2021-10-28,149.820007,153.169998,149.720001,152.570007,152.347656,100077900,0.018355358907438845
2021-10-29,147.220001,149.940002,146.410004,149.800003,149.581696,124850400,0.017524806293134094
2021-11-01,148.990005,149.699997,147.800003,148.960007,148.742920,74588300,-0.00020134236521440608
2021-11-02,148.660004,151.570007,148.649994,150.020004,149.801376,69122000,0.009148392058431626
2021-11-03,150.389999,151.970001,149.820007,151.490005,151.269241,54511500,0.00731435605634925
2021-11-04,151.580002,152.429993,150.639999,150.960007,150.740005,60394600,-0.004090216333418555
2021-11-05,151.889999,152.199997,150.059998,151.279999,151.279999,65414600,-0.004016064283468626
2021-11-08,151.410004,151.570007,150.160004,150.440002,150.440002,55020900,-0.006406459113494204
2021-11-09,150.199997,151.429993,150.059998,150.809998,150.809998,56787900,0.0040612584033541035
2021-11-10,150.020004,150.130005,147.850006,147.919998,147.919998,65187100,-0.013998173203621615
2021-11-11,148.960007,149.429993,147.679993,147.869995,147.869995,41000000,-0.007317480859140948
2021-11-12,148.429993,150.399994,147.479996,149.990005,149.990005,63632600,0.010510086057876459
2021-11-15,150.369995,151.880005,149.429993,150.000000,150.000000,59222800,-0.002460564024092631
2021-11-16,149.940002,151.490005,149.339996,151.000000,151.000000,59256200,0.00706948103148623
2021-11-17,151.000000,155.000000,150.990005,153.490005,153.490005,88807000,0.01649009933774832
2021-11-18,153.710007,158.669998,153.050003,157.869995,157.869995,137827700,0.027063872295575386
2021-11-19,157.649994,161.020004,156.529999,160.550003,160.550003,117305600,0.01839523698300941
2021-11-22,161.679993,165.699997,161.000000,161.020004,161.020004,117467900,-0.004082069696774393
2021-11-23,161.119995,161.800003,159.059998,161.410004,161.410004,96041900,0.0017999566099787786
2021-11-24,160.750000,162.139999,159.639999,161.940002,161.940002,69463600,0.0074028118195956
2021-11-26,159.570007,160.449997,156.360001,156.809998,156.809998,76959800,-0.017296539944376868
2021-11-29,159.369995,161.190002,158.789993,160.240005,160.240005,88748200,0.005459057710330026
2021-11-30,159.990005,165.520004,159.919998,165.300003,165.300003,174048100,0.03318956081037692
2021-12-01,167.479996,170.300003,164.529999,164.770004,164.770004,152052500,-0.016180989161236902
2021-12-02,158.740005,164.199997,157.800003,163.759995,163.759995,136739200,0.031623975317375146
2021-12-03,164.020004,164.960007,159.720001,161.839996,161.839996,117938300,-0.013291110516007466
2021-12-06,164.289993,167.880005,164.279999,165.320007,165.320007,107497000,0.006269487150078545
2021-12-07,169.080002,171.580002,168.339996,171.179993,171.179993,120405400,0.012420102762951165
2021-12-08,172.130005,175.960007,170.699997,175.080002,175.080002,116998900,0.01713819156631057
2021-12-09,174.910004,176.750000,173.919998,174.559998,174.559998,108923700,-0.002001063358274117
2021-12-10,175.210007,179.630005,174.690002,179.449997,179.449997,115228100,0.024199473948996568
2021-12-13,181.119995,182.130005,175.529999,175.740005,175.740005,153237000,-0.029704009212235195
2021-12-14,175.250000,177.740005,172.210007,174.330002,174.330002,139380400,-0.005249631954350885
2021-12-15,175.110001,179.500000,172.310806,179.300003,179.300003,127001120,0.023927828085615693
